bus_name,lat,lon
Bus 1,19.9864995,73.766083
Bus 1,19.9866041,73.7650652
Bus 1,19.9866046,73.7646856
Bus 1,19.986609,73.7645918
Bus 1,19.9866284,73.7641846
Bus 1,19.9872821,73.7641917
Bus 1,19.9877072,73.7641944
Bus 1,19.988154,73.7641929
Bus 1,19.9877072,73.7641944
Bus 1,19.9877187,73.7637132
Bus 1,19.9870554,73.7636899
Bus 1,19.9863001,73.7636634
Bus 1,19.9863291,73.76327
Bus 1,19.9863441,73.7621987
Bus 1,19.9860182,73.7621875
Bus 1,19.9860078,73.7617602
Bus 1,19.9860182,73.7621875
Bus 1,19.9863441,73.7621987
Bus 1,19.9866916,73.7622132
Bus 1,19.9868437,73.7622199
Bus 1,19.9868474,73.7617711
Bus 1,19.9868511,73.7613117
Bus 1,19.9866446,73.7613117
Bus 1,19.9868511,73.7613117
Bus 1,19.9868561,73.7607081
Bus 1,19.9864906,73.7606514
Bus 1,19.9863743,73.7606424
Bus 1,19.9860255,73.7606755
Bus 1,19.9857363,73.760756
Bus 1,19.9853984,73.7608609
Bus 1,19.9843877,73.7608634
Bus 1,19.9841527,73.7608081
Bus 1,19.9837655,73.7607166
Bus 1,19.9836565,73.7607011
Bus 1,19.9837655,73.7607166
Bus 1,19.9838825,73.7603469
Bus 1,19.9837097,73.7603215
Bus 1,19.9834235,73.7602793
Bus 1,19.982752,73.7601804
Bus 1,19.9824597,73.7601342
Bus 1,19.9821865,73.7600988
Bus 1,19.9814709,73.7599983
Bus 1,19.981358,73.7599823
Bus 1,19.9807354,73.759894
Bus 1,19.9798771,73.7597722
Bus 1,19.9791177,73.7596688
Bus 1,19.9786148,73.7595366
Bus 1,19.9781784,73.7594219
Bus 1,19.9779834,73.7593706
Bus 1,19.9775763,73.7592636
Bus 1,19.9768116,73.7591003
Bus 1,19.9766147,73.7590742
Bus 1,19.9760946,73.7590054
Bus 1,19.9758388,73.7589746
Bus 1,19.9756828,73.7589534
Bus 1,19.9756148,73.7596607
Bus 1,19.9750224,73.7596443
Bus 1,19.9745113,73.7595953
Bus 1,19.9739726,73.759994
Bus 1,19.9739035,73.7604421
Bus 1,19.9734801,73.7603133
Bus 1,19.9733067,73.7602922
Bus 1,19.9732538,73.7607424
Bus 1,19.9732077,73.760737
Bus 1,19.9731799,73.7610833
Bus 1,19.9731753,73.7611411
Bus 1,19.9731456,73.7615108
Bus 1,19.9731167,73.7618708
Bus 1,19.973093,73.762259
Bus 1,19.9718842,73.7621332
Bus 1,19.973093,73.762259
Bus 1,19.9731167,73.7618708
Bus 1,19.9731456,73.7615108
Bus 1,19.9731753,73.7611411
Bus 1,19.9731799,73.7610833
Bus 1,19.9732077,73.760737
Bus 1,19.9723758,73.7603239
Bus 1,19.9719371,73.7603829
Bus 1,19.9713489,73.7614911
Bus 1,19.9710793,73.761793
Bus 1,19.9710298,73.7618485
Bus 1,19.9709945,73.761888
Bus 1,19.9707777,73.7621308
Bus 1,19.9704212,73.7625245
Bus 1,19.9703725,73.7625748
Bus 1,19.9700236,73.7622119
Bus 1,19.9694592,73.7616895
Bus 1,19.9683325,73.7604968
Bus 1,19.9679469,73.7601045
Bus 1,19.9665427,73.7622176
Bus 1,19.9665172,73.7621237
Bus 1,19.967321,73.7610392
Bus 1,19.9661603,73.7608928
Bus 1,19.9662618,73.7613919
Bus 1,19.9665172,73.7621237
Bus 1,19.9665427,73.7622176
Bus 1,19.9665172,73.7621237
Bus 1,19.967321,73.7610392
Bus 1,19.9679307,73.7600113
